"Birdlife_Name","Birdlife_common.name","Jetz_Name","Jetz_order","Jetz_family","Body_mass","Beak"
"Abeillia abeillei","Emerald-chinned Hummingbird","Abeillia_abeillei","Apodiformes","Trochilidae",2.7,13.3383579049278
"Abroscopus albogularis","Rufous-faced Warbler","Abroscopus_albogularis","Passeriformes","Cettidae",4.84,9.87852577398531
"Abroscopus schisticeps","Black-faced Warbler","Abroscopus_schisticeps","Passeriformes","Cettidae",4.7,9.41930289412849
"Abroscopus superciliaris","Yellow-bellied Warbler","Abroscopus_superciliaris","Passeriformes","Cettidae",6.48,12.1572083680276
"Aburria aburri","Wattled Guan","Aburria_aburri","Galliformes","Cracidae",1405.08,37.0278746752961
"Acanthagenys rufogularis","Spiny-cheeked Honeyeater","Acanthagenys_rufogularis","Passeriformes","Meliphagidae",47.8,24.2321239048615
"Acanthidops bairdi","Peg-billed Finch","Acanthidops_bairdii","Passeriformes","Thraupidae",16,15.2350369445141
"Acanthis flammea","Redpoll","Carduelis_flammea","Passeriformes","Fringillidae",13,11.1457547604719
"Acanthisitta chloris","Rifleman","Acanthisitta_chloris","Passeriformes","Acanthisittidae",6.91,11.654962170585
"Acanthiza apicalis","Inland Thornbill","Acanthiza_apicalis","Passeriformes","Acanthizidae",7.62,11.2254994422831
"Acanthiza chrysorrhoa","Yellow-rumped Thornbill","Acanthiza_chrysorrhoa","Passeriformes","Acanthizidae",9.29,11.3628440744895
"Acanthiza cinerea","Grey Thornbill","Gerygone_cinerea","Passeriformes","Acanthizidae",7.6,10.8857845296152
"Acanthiza ewingii","Tasmanian Thornbill","Acanthiza_ewingii","Passeriformes","Acanthizidae",6.9,10.6818993270397
"Acanthiza inornata","Western Thornbill","Acanthiza_inornata","Passeriformes","Acanthizidae",7,10.7611464096699
"Acanthiza iredalei","Slender-billed Thornbill","Acanthiza_iredalei","Passeriformes","Acanthizidae",6.04,8.69096918091364
"Acanthiza katherina","Mountain Thornbill","Acanthiza_katherina","Passeriformes","Acanthizidae",7.2,10.8568213672843
"Acanthiza lineata","Striated Thornbill","Acanthiza_lineata","Passeriformes","Acanthizidae",6.85,8.76384660746902
"Acanthiza murina","New Guinea Thornbill","Acanthiza_murina","Passeriformes","Acanthizidae",8.4,10.8482337141689
"Acanthiza nana","Yellow Thornbill","Acanthiza_nana","Passeriformes","Acanthizidae",6.19,10.3421825274359
"Acanthiza pusilla","Brown Thornbill","Acanthiza_pusilla","Passeriformes","Acanthizidae",7.62,9.92167373851873
"Acanthiza reguloides","Buff-rumped Thornbill","Acanthiza_reguloides","Passeriformes","Acanthizidae",7.7,10.0141207025107
"Acanthiza robustirostris","Slaty-backed Thornbill","Acanthiza_robustirostris","Passeriformes","Acanthizidae",6.1,10.4506453994196
"Acanthiza uropygialis","Chestnut-rumped Thornbill","Acanthiza_uropygialis","Passeriformes","Acanthizidae",6.4,10.1690198121592
"Acanthoptila nipalensis","Spiny Babbler","Turdoides_nipalensis","Passeriformes","Timaliidae",61,23.2093583544325
"Acanthorhynchus superciliosus","Western Spinebill","Acanthorhynchus_superciliosus","Passeriformes","Meliphagidae",9.72,22.8080696948916
"Acanthorhynchus tenuirostris","Eastern Spinebill","Acanthorhynchus_tenuirostris","Passeriformes","Meliphagidae",10.44,26.1179179755932
"Acanthornis magna","Scrubtit","Acanthornis_magna","Passeriformes","Acanthizidae",10.18,14.7573598717805
"Accipiter albogularis","Pied Goshawk","Accipiter_albogularis","Accipitriformes","Accipitridae",248.75,27.5805521048177
"Accipiter badius","Shikra","Accipiter_badius","Accipitriformes","Accipitridae",131.15,20.8895504663978
"Accipiter bicolor","Bicolored Hawk","Accipiter_bicolor","Accipitriformes","Accipitridae",287.54,24.852979269348
"Accipiter brachyurus","New Britain Sparrowhawk","Accipiter_brachyurus","Accipitriformes","Accipitridae",142,22.8370687210467
"Accipiter brevipes","Levant Sparrowhawk","Accipiter_brevipes","Accipitriformes","Accipitridae",186.48,20.4198316247668
"Accipiter butleri","Nicobar Sparrowhawk","Accipiter_butleri","Accipitriformes","Accipitridae",332.94,19.7486253234092
"Accipiter castanilius","Chestnut-flanked Sparrowhawk","Accipiter_castanilius","Accipitriformes","Accipitridae",157.51,20.2477500978392
"Accipiter cirrocephalus","Collared Sparrowhawk","Accipiter_cirrocephalus","Accipitriformes","Accipitridae",165.73,18.8427224468458
"Accipiter collaris","Semi-collared Hawk","Accipiter_collaris","Accipitriformes","Accipitridae",332.94,20.5048122670828
"Accipiter cooperii","Cooper's Hawk","Accipiter_cooperii","Accipitriformes","Accipitridae",429.67,24.733550934894
"Accipiter erythrauchen","Rufous-necked Sparrowhawk","Accipiter_erythrauchen","Accipitriformes","Accipitridae",156,20.7147652582731
"Accipiter erythropus","Red-legged Sparrowhawk","Accipiter_erythropus","Accipitriformes","Accipitridae",111.2,17.4558478344604
"Accipiter fasciatus","Brown Goshawk","Accipiter_fasciatus","Accipitriformes","Accipitridae",358.66,28.971326171216
"Accipiter francesiae","Frances's Sparrowhawk","Accipiter_francesiae","Accipitriformes","Accipitridae",136.82,19.727619642606
"Accipiter gentilis","Northern Goshawk","Accipiter_gentilis","Accipitriformes","Accipitridae",866.04,34.2962050871458
"Accipiter griseiceps","Sulawesi Goshawk","Accipiter_griseiceps","Accipitriformes","Accipitridae",251.76,23.8364385275636
"Accipiter gularis","Japanese Sparrowhawk","Accipiter_gularis","Accipitriformes","Accipitridae",120.66,22.6856151094027
"Accipiter gundlachi","Gundlach's Hawk","Accipiter_gundlachi","Accipitriformes","Accipitridae",675,25.3547452143393
"Accipiter haplochrous","White-bellied Goshawk","Accipiter_haplochrous","Accipitriformes","Accipitridae",198.41,23.4252795131411
"Accipiter henicogrammus","Moluccan Goshawk","Accipiter_henicogrammus","Accipitriformes","Accipitridae",332.94,28.2721476441454
"Accipiter henstii","Henst's Goshawk","Accipiter_henstii","Accipitriformes","Accipitridae",1050,32.0895318290219
"Accipiter hiogaster","Variable Goshawk","Accipiter_novaehollandiae","Accipitriformes","Accipitridae",326.06,26.3140630265698
"Accipiter imitator","Imitator Goshawk","Accipiter_imitator","Accipitriformes","Accipitridae",222.49,26.2374665896874
"Accipiter luteoschistaceus","Slaty-backed Goshawk","Accipiter_luteoschistaceus","Accipitriformes","Accipitridae",214,NA
"Accipiter madagascariensis","Madagascar Sparrowhawk","Accipiter_madagascariensis","Accipitriformes","Accipitridae",180.41,19.192062626034
"Accipiter melanochlamys","Black-mantled Goshawk","Accipiter_melanochlamys","Accipitriformes","Accipitridae",265,26.0846292817667
"Accipiter melanoleucus","Black Sparrowhawk","Accipiter_melanoleucus","Accipitriformes","Accipitridae",698.99,30.2850547416881
"Accipiter meyerianus","Meyer's Goshawk","Accipiter_meyerianus","Accipitriformes","Accipitridae",763.54,34.9573762943968
"Accipiter minullus","Little Sparrowhawk","Accipiter_minullus","Accipitriformes","Accipitridae",87.43,15.3164629486855
"Accipiter nanus","Dwarf Sparrowhawk","Accipiter_nanus","Accipitriformes","Accipitridae",332.94,18.2279204573017
"Accipiter nisus","Eurasian Sparrowhawk","Accipiter_nisus","Accipitriformes","Accipitridae",220.79,19.6643831096759
"Accipiter ovampensis","Ovambo Sparrowhawk","Accipiter_ovampensis","Accipitriformes","Accipitridae",195,19.9357009808123
"Accipiter poliocephalus","Grey-headed Goshawk","Accipiter_poliocephalus","Accipitriformes","Accipitridae",214.76,25.40627958728
"Accipiter poliogaster","Grey-bellied Goshawk","Accipiter_poliogaster","Accipitriformes","Accipitridae",1369.41,27.0526616002657
"Accipiter princeps","New Britain Goshawk","Accipiter_princeps","Accipitriformes","Accipitridae",332.94,33.6692848205101
"Accipiter rhodogaster","Vinous-breasted Sparrowhawk","Accipiter_rhodogaster","Accipitriformes","Accipitridae",172.71,20.7018742824811
"Accipiter rufitorques","Fiji Goshawk","Accipiter_rufitorques","Accipitriformes","Accipitridae",209,26.3548587829229
"Accipiter rufiventris","Rufous-breasted Sparrowhawk","Accipiter_rufiventris","Accipitriformes","Accipitridae",198,20.3575609100964
"Accipiter soloensis","Chinese Sparrowhawk","Accipiter_soloensis","Accipitriformes","Accipitridae",164.77,26.2583100282382
"Accipiter striatus","Sharp-shinned Hawk","Accipiter_striatus","Accipitriformes","Accipitridae",130.59,18.3231194428559
"Accipiter superciliosus","Tiny Hawk","Accipiter_superciliosus","Accipitriformes","Accipitridae",99.51,19.9249997377377
"Accipiter tachiro","African Goshawk","Accipiter_tachiro","Accipitriformes","Accipitridae",381,16.5459292370826
"Accipiter toussenelii","Red-chested Goshawk","Accipiter_toussenelii","Accipitriformes","Accipitridae",249.29,25.5524030262604
"Accipiter trinotatus","Spot-tailed Goshawk","Accipiter_trinotatus","Accipitriformes","Accipitridae",146,20.5427096400019
"Accipiter trivirgatus","Crested Goshawk","Accipiter_trivirgatus","Accipitriformes","Accipitridae",265.04,31.6406723039467
"Accipiter virgatus","Besra","Accipiter_virgatus","Accipitriformes","Accipitridae",116.99,21.1090103715267
"Aceros nipalensis","Rufous-necked Hornbill","Aceros_nipalensis","Bucerotiformes","Bucerotidae",2385,204.055730293784
"Achaetops pycnopygius","Rockrunner","Achaetops_pycnopygius","Passeriformes","Incertae_Sedis_4",28.3,20.240509542061
"Acridotheres albocinctus","Collared Myna","Acridotheres_albocinctus","Passeriformes","Sturnidae",93.56,28.7096957636736
"Acridotheres burmannicus","Burmese Myna","Sturnus_burmannicus","Passeriformes","Sturnidae",81.72,22.8188455724623
"Acridotheres cinereus","Pale-bellied Myna","Acridotheres_cinereus","Passeriformes","Sturnidae",93.56,27.1240348602179
"Acridotheres cristatellus","Crested Myna","Acridotheres_cristatellus","Passeriformes","Sturnidae",116.31,26.743537813728
"Acridotheres fuscus","Jungle Myna","Acridotheres_fuscus","Passeriformes","Sturnidae",82.8,27.7472651924156
"Acridotheres ginginianus","Bank Myna","Acridotheres_ginginianus","Passeriformes","Sturnidae",72,24.146387504073
"Acridotheres grandis","Great Myna","Acridotheres_grandis","Passeriformes","Sturnidae",98.91,25.6048296196386
"Acridotheres melanopterus","Black-winged Myna","Sturnus_melanopterus","Passeriformes","Sturnidae",81.72,25.5388671097478
"Acridotheres tristis","Common Myna","Acridotheres_tristis","Passeriformes","Sturnidae",116.43,27.2248190525958
"Acritillas indica","Yellow-browed Bulbul","Iole_indica","Passeriformes","Pycnonotidae",30.6,19.4820266485584
"Acrobatornis fonsecai","Pink-legged Graveteiro","Acrobatornis_fonsecai","Passeriformes","Furnariidae",13.7,10.6754358621314
"Acrocephalus aequinoctialis","Kiritimati Reed-warbler","Acrocephalus_aequinoctialis","Passeriformes","Acrocephalidae",25,20.6936464095488
"Acrocephalus agricola","Paddyfield Warbler","Acrocephalus_agricola","Passeriformes","Acrocephalidae",9.6,13.4033029485455
"Acrocephalus arundinaceus","Great Reed-warbler","Acrocephalus_arundinaceus","Passeriformes","Acrocephalidae",30,22.9684033553116
"Acrocephalus astrolabii","Mangareva Reed-warbler","Acrocephalus_luscinius","Passeriformes","Acrocephalidae",30.55,NA
"Acrocephalus atyphus","Tuamotu Reed-warbler","Acrocephalus_atyphus","Passeriformes","Acrocephalidae",31.21,26.448891867511
"Acrocephalus australis","Australasian Reed-warbler","Acrocephalus_australis","Passeriformes","Acrocephalidae",17.7,19.0958786210883
"Acrocephalus bistrigiceps","Black-browed Reed-warbler","Acrocephalus_bistrigiceps","Passeriformes","Acrocephalidae",8.67,12.9326036040913
"Acrocephalus brevipennis","Cape Verde Swamp-warbler","Acrocephalus_brevipennis","Passeriformes","Acrocephalidae",16,18.7345807807559
"Acrocephalus caffer","Tahiti Reed-warbler","Acrocephalus_caffer","Passeriformes","Acrocephalidae",31.21,33.2019555563107
"Acrocephalus concinens","Blunt-winged Warbler","Acrocephalus_concinens","Passeriformes","Acrocephalidae",8.3,13.4526586517654
"Acrocephalus dumetorum","Blyth's Reed-warbler","Acrocephalus_dumetorum","Passeriformes","Acrocephalidae",11.2,16.7502689062003
"Acrocephalus familiaris","Millerbird","Acrocephalus_familiaris","Passeriformes","Acrocephalidae",18.3,17.8599347925318
"Acrocephalus gracilirostris","Lesser Swamp-warbler","Acrocephalus_gracilirostris","Passeriformes","Acrocephalidae",14.4,18.3400209351964
"Acrocephalus griseldis","Basra Reed-warbler","Acrocephalus_griseldis","Passeriformes","Acrocephalidae",16.7,21.4694387402346
"Acrocephalus kerearako","Cook Reed-warbler","Acrocephalus_kerearako","Passeriformes","Acrocephalidae",22.5,21.4411803753581
"Acrocephalus melanopogon","Moustached Warbler","Acrocephalus_melanopogon","Passeriformes","Acrocephalidae",10.9,12.0543423658013
"Acrocephalus mendanae","Southern Marquesan Reed-warbler","Acrocephalus_mendanae","Passeriformes","Acrocephalidae",31.21,30.6017330112699
"Acrocephalus newtoni","Madagascar Swamp-warbler","Acrocephalus_newtoni","Passeriformes","Acrocephalidae",17,17.6632691242881
"Acrocephalus orinus","Large-billed Reed-warbler","Acrocephalus_orinus","Passeriformes","Acrocephalidae",24.2,17.1354902060702
"Acrocephalus paludicola","Aquatic Warbler","Acrocephalus_paludicola","Passeriformes","Acrocephalidae",11.6,12.6253738110419
"Acrocephalus palustris","Marsh Warbler","Acrocephalus_palustris","Passeriformes","Acrocephalidae",11.5,16.4254850385804
"Acrocephalus rehsei","Nauru Reed-warbler","Acrocephalus_rehsei","Passeriformes","Acrocephalidae",20.06,21.8944068452809
"Acrocephalus rimitarae","Rimatara Reed-warbler","Acrocephalus_rimatarae","Passeriformes","Acrocephalidae",26.5,23.9624246851541
"Acrocephalus rodericanus","Rodrigues Warbler","Acrocephalus_rodericanus","Passeriformes","Acrocephalidae",11.8,17.9823708304243
"Acrocephalus rufescens","Greater Swamp-warbler","Acrocephalus_rufescens","Passeriformes","Acrocephalidae",22.72,20.8391952450946
"Acrocephalus schoenobaenus","Sedge Warbler","Acrocephalus_schoenobaenus","Passeriformes","Acrocephalidae",11.83,15.091199648261
"Acrocephalus scirpaceus","Common Reed-warbler","Acrocephalus_scirpaceus","Passeriformes","Acrocephalidae",12.3,18.261664005045
"Acrocephalus sechellensis","Seychelles Warbler","Acrocephalus_sechellensis","Passeriformes","Acrocephalidae",15.87,17.9070615341961
"Acrocephalus sorghophilus","Streaked Reed-warbler","Acrocephalus_sorghophilus","Passeriformes","Acrocephalidae",14.18,14.7016862614779
"Acrocephalus stentoreus","Clamorous Reed-warbler","Acrocephalus_stentoreus","Passeriformes","Acrocephalidae",24.2,24.5296296811383
"Acrocephalus syrinx","Caroline Reed-warbler","Acrocephalus_syrinx","Passeriformes","Acrocephalidae",20.06,24.2564865574948
"Acrocephalus taiti","Henderson Reed-warbler","Acrocephalus_taiti","Passeriformes","Acrocephalidae",24.25,20.5336660524365
"Acrocephalus tangorum","White-browed Reed-warbler","Acrocephalus_tangorum","Passeriformes","Acrocephalidae",16.39,14.3871756548528
"Acrocephalus vaughani","Pitcairn Reed-warbler","Acrocephalus_vaughani","Passeriformes","Acrocephalidae",24.37,20.1781270125136
"Acropternis orthonyx","Ocellated Tapaculo","Acropternis_orthonyx","Passeriformes","Rhinocryptidae",89.86,23.0478950689772
"Acryllium vulturinum","Vulturine Guineafowl","Acryllium_vulturinum","Galliformes","Numididae",1330,39.693771066335
"Actenoides bougainvillei","Bougainville Moustached Kingfisher","Actenoides_bougainvillei","Coraciiformes","Alcedinidae",188,51.5973430483602
"Actenoides capucinus","Black-headed Kingfisher","Actenoides_monachus","Coraciiformes","Alcedinidae",106,56.1050034224405
"Actenoides concretus","Rufous-collared Kingfisher","Actenoides_concretus","Coraciiformes","Alcedinidae",73.47,48.3614960762672
"Actenoides hombroni","Blue-capped Kingfisher","Actenoides_hombroni","Coraciiformes","Alcedinidae",117,47.2176128818802
"Actenoides lindsayi","Spotted Kingfisher","Actenoides_lindsayi","Coraciiformes","Alcedinidae",92.84,47.0812671782933
"Actenoides princeps","Scaly-breasted Kingfisher","Actenoides_princeps","Coraciiformes","Alcedinidae",105,44.5531661287293
"Actinodura egertoni","Rusty-fronted Barwing","Actinodura_egertoni","Passeriformes","Timaliidae",36,17.7997469668407
"Actinodura radcliffei","Eastern Spectacled Barwing","Actinodura_ramsayi","Passeriformes","Timaliidae",38.4,NA
"Actinodura sodangorum","Black-crowned Barwing","Actinodura_sodangorum","Passeriformes","Timaliidae",38.1,18.1223594301846
"Actitis hypoleucos","Common Sandpiper","Actitis_hypoleucos","Charadriiformes","Scolopacidae",48,29.5962957993186
"Actitis macularius","Spotted Sandpiper","Actitis_macularius","Charadriiformes","Scolopacidae",40.4,25.4996665127147
"Actophilornis africanus","African Jacana","Actophilornis_africanus","Charadriiformes","Jacanidae",189.09,36.8053911519796
"Actophilornis albinucha","Madagascar Jacana","Actophilornis_albinucha","Charadriiformes","Jacanidae",239,32.8225052974578
"Adelomyia melanogenys","Speckled Hummingbird","Adelomyia_melanogenys","Apodiformes","Trochilidae",4.93,17.9545007890725
"Aechmophorus clarkii","Clark's Grebe","Aechmophorus_clarkii","Podicipediformes","Podicipedidae",1090.93,78.5622109128833
"Aechmophorus occidentalis","Western Grebe","Aechmophorus_occidentalis","Podicipediformes","Podicipedidae",1136.95,73.5393747351598
"Aegithalos annamensis","Grey-crowned Tit","Aegithalos_concinnus","Passeriformes","Aegithalidae",6.1,NA
"Aegithalos bonvaloti","Black-browed Tit","Aegithalos_iouschistos","Passeriformes","Aegithalidae",7,8.11052094064653
"Aegithalos caudatus","Long-tailed Tit","Aegithalos_caudatus","Passeriformes","Aegithalidae",8.6,6.83510158186947
"Aegithalos fuliginosus","Sooty Tit","Aegithalos_fuliginosus","Passeriformes","Aegithalidae",5.65,7.13277208697982
"Aegithalos leucogenys","White-cheeked Tit","Aegithalos_leucogenys","Passeriformes","Aegithalidae",6.7,7.14422964542173
"Aegithalos niveogularis","White-throated Tit","Aegithalos_niveogularis","Passeriformes","Aegithalidae",7.8,8.63703670056032
"Aegithina lafresnayei","Great Iora","Aegithina_lafresnayei","Passeriformes","Aegithinidae",11.96,23.01777179759
"Aegithina nigrolutea","Marshall's Iora","Aegithina_nigrolutea","Passeriformes","Aegithinidae",11.83,16.2020847167354
"Aegithina tiphia","Common Iora","Aegithina_tiphia","Passeriformes","Aegithinidae",12,17.6771090186807
"Aegithina viridissima","Green Iora","Aegithina_viridissima","Passeriformes","Aegithinidae",13.4,15.6615051623108
"Aegolius acadicus","Northern Saw-whet Owl","Aegolius_acadicus","Strigiformes","Strigidae",100.69,17.5610548476018
"Aegolius funereus","Boreal Owl","Aegolius_funereus","Strigiformes","Strigidae",137.18,17.7565079896361
"Aegolius harrisii","Buff-fronted Owl","Aegolius_harrisii","Strigiformes","Strigidae",120,21.6686607576907
"Aegolius ridgwayi","Unspotted Saw-whet Owl","Aegolius_ridgwayi","Strigiformes","Strigidae",80,18.2687529957108
"Aegotheles affinis","Allied Owlet-nightjar","Aegotheles_bennettii","Apodiformes","Aegothelidae",60,17.5036936610511
"Aegotheles albertisi","Mountain Owlet-nightjar","Aegotheles_albertisi","Apodiformes","Aegothelidae",35.2,11.3316954472568
"Aegotheles archboldi","Archbold's Owlet-nightjar","Aegotheles_archboldi","Apodiformes","Aegothelidae",30.6,12.3963013757486
"Aegotheles crinifrons","Moluccan Owlet-nightjar","Aegotheles_crinifrons","Apodiformes","Aegothelidae",136,22.8411053106319
"Aegotheles cristatus","Australian Owlet-nightjar","Aegotheles_cristatus","Apodiformes","Aegothelidae",42.78,14.3712011124901
"Aegotheles insignis","Feline Owlet-nightjar","Aegotheles_insignis","Apodiformes","Aegothelidae",78.5,19.8355328684207
"Aegotheles savesi","New Caledonian Owlet-nightjar","Aegotheles_savesi","Apodiformes","Aegothelidae",59.38,21.0493321833666
"Aegotheles tatei","Spangled Owlet-nightjar","Aegotheles_tatei","Apodiformes","Aegothelidae",52,19.3410375606734
"Aegotheles wallacii","Wallace's Owlet-nightjar","Aegotheles_wallacii","Apodiformes","Aegothelidae",50.73,17.0826732995493
"Aegypius monachus","Cinereous Vulture","Aegypius_monachus","Accipitriformes","Accipitridae",9320.55,87.3417842025869
"Aepypodius arfakianus","Wattled Brush-turkey","Aepypodius_arfakianus","Galliformes","Megapodiidae",1463.8,34.8389316461235
"Aepypodius bruijnii","Waigeo Brush-turkey","Aepypodius_bruijnii","Galliformes","Megapodiidae",192,33.177674802905
"Aerodramus bartschi","Mariana Swiftlet","Collocalia_bartschi","Apodiformes","Apodidae",7.4,5.22366604399867
"Aerodramus brevirostris","Himalayan Swiftlet","Collocalia_brevirostris","Apodiformes","Apodidae",13.42,6.9254659266246
"Aerodramus elaphrus","Seychelles Swiftlet","Collocalia_elaphra","Apodiformes","Apodidae",10.7,5.9098983053118
"Aerodramus francicus","Mascarene Swiftlet","Collocalia_francica","Apodiformes","Apodidae",8.9,5.63247075807303
"Aerodramus fuciphagus","Edible-nest Swiftlet","Collocalia_fuciphaga","Apodiformes","Apodidae",10.7,7.20684308889322
"Aerodramus hirundinaceus","Mountain Swiftlet","Collocalia_hirundinacea","Apodiformes","Apodidae",10.1,6.09325662073679
"Aerodramus infuscatus","Moluccan Swiftlet","Collocalia_infuscata","Apodiformes","Apodidae",13.35,5.64841344910674
"Aerodramus inquietus","Caroline Swiftlet","Collocalia_inquieta","Apodiformes","Apodidae",13.35,6.98198298532516
"Aerodramus leucophaeus","Polynesian Swiftlet","Collocalia_leucophaea","Apodiformes","Apodidae",13.35,6.47853517191717
"Aerodramus maximus","Black-nest Swiftlet","Collocalia_maxima","Apodiformes","Apodidae",17,8.51729796575382
"Aerodramus mearnsi","Philippine Swiftlet","Collocalia_mearnsi","Apodiformes","Apodidae",11.3,6.37198483417742
"Aerodramus nuditarsus","Bare-legged Swiftlet","Collocalia_nuditarsus","Apodiformes","Apodidae",13.35,NA
"Aerodramus orientalis","Mayr's Swiftlet","Collocalia_orientalis","Apodiformes","Apodidae",13.35,7.87074721734971
"Aerodramus papuensis","Papuan Swiftlet","Collocalia_papuensis","Apodiformes","Apodidae",19.9,8.3543354625348
"Aerodramus pelewensis","Palau Swiftlet","Collocalia_pelewensis","Apodiformes","Apodidae",13.35,5.36931276004761
"Aerodramus salangana","Mossy-nest Swiftlet","Collocalia_salangana","Apodiformes","Apodidae",11.3,6.46583827571012
"Aerodramus sawtelli","Atiu Swiftlet","Collocalia_sawtelli","Apodiformes","Apodidae",8.6,7.10932896775194
"Aerodramus spodiopygius","White-rumped Swiftlet","Collocalia_spodiopygia","Apodiformes","Apodidae",8.03,6.47778192250989
"Aerodramus terraereginae","Australian Swiftlet","Collocalia_terraereginae","Apodiformes","Apodidae",12,6.33175652115606
"Aerodramus unicolor","Indian Swiftlet","Collocalia_unicolor","Apodiformes","Apodidae",11,6.45501282815076
"Aerodramus vanikorensis","Uniform Swiftlet","Collocalia_vanikorensis","Apodiformes","Apodidae",10.7,5.9646939783427
"Aerodramus vulcanorum","Volcano Swiftlet","Collocalia_vulcanorum","Apodiformes","Apodidae",13.42,7.24254293935373
"Aerodramus whiteheadi","Whitehead's Swiftlet","Collocalia_whiteheadi","Apodiformes","Apodidae",14,8.62452787719667
"Aeronautes andecolus","Andean Swift","Aeronautes_andecolus","Apodiformes","Apodidae",17.6,6.53514695674181
"Aeronautes montivagus","White-tipped Swift","Aeronautes_montivagus","Apodiformes","Apodidae",20.14,6.2827830565162
"Aeronautes saxatalis","White-throated Swift","Aeronautes_saxatalis","Apodiformes","Apodidae",32.1,6.41716260707432
"Aethia cristatella","Crested Auklet","Aethia_cristatella","Charadriiformes","Alcidae",259.36,21.5144294691402
"Aethia psittacula","Parakeet Auklet","Aethia_psittacula","Charadriiformes","Alcidae",269.98,19.8417063139845
"Aethia pusilla","Least Auklet","Aethia_pusilla","Charadriiformes","Alcidae",83.99,14.7122022028472
"Aethia pygmaea","Whiskered Auklet","Aethia_pygmaea","Charadriiformes","Alcidae",112,15.3914206617977
"Aethopyga bella","Handsome Sunbird","Aethopyga_bella","Passeriformes","Nectariniidae",4,15.4891103715319
"Aethopyga boltoni","Apo Sunbird","Aethopyga_boltoni","Passeriformes","Nectariniidae",7.09,20.0762856718618
"Aethopyga christinae","Hainan Sunbird","Aethopyga_christinae","Passeriformes","Nectariniidae",5.2,17.7167813720182
"Aethopyga duyvenbodei","Elegant Sunbird","Aethopyga_duyvenbodei","Passeriformes","Nectariniidae",6.03,21.2317191279102
"Aethopyga eximia","White-flanked Sunbird","Aethopyga_eximia","Passeriformes","Nectariniidae",6.03,21.9259665592462
"Aethopyga flagrans","Flaming Sunbird","Aethopyga_flagrans","Passeriformes","Nectariniidae",6.7,18.8877452514116
"Aethopyga gouldiae","Gould's Sunbird","Aethopyga_gouldiae","Passeriformes","Nectariniidae",5,18.3696948317811
"Aethopyga ignicauda","Fire-tailed Sunbird","Aethopyga_ignicauda","Passeriformes","Nectariniidae",8.2,21.3084607851412
"Aethopyga linaraborae","Lina's Sunbird","Aethopyga_linaraborae","Passeriformes","Nectariniidae",7.2,22.0778507712297
"Aethopyga magnifica","Magnificent Sunbird","Aethopyga_siparaja","Passeriformes","Nectariniidae",6.7,NA
"Aethopyga mystacalis","Javan Sunbird","Aethopyga_mystacalis","Passeriformes","Nectariniidae",6,16.137241740711
"Aethopyga nipalensis","Green-tailed Sunbird","Aethopyga_nipalensis","Passeriformes","Nectariniidae",6.9,21.7283418622799
"Aethopyga primigenia","Grey-hooded Sunbird","Aethopyga_primigenia","Passeriformes","Nectariniidae",7,20.4234222028404
"Aethopyga pulcherrima","Metallic-winged Sunbird","Aethopyga_pulcherrima","Passeriformes","Nectariniidae",6.2,19.9713831713498
"Aethopyga saturata","Black-throated Sunbird","Aethopyga_saturata","Passeriformes","Nectariniidae",5.3,22.4649987734649
"Aethopyga shelleyi","Lovely Sunbird","Aethopyga_shelleyi","Passeriformes","Nectariniidae",4,16.0224333885592
"Afropavo congensis","Congo Peafowl","Afropavo_congensis","Galliformes","Phasianidae",1273.65,37.4971838610135
"Afrotis afra","Southern Black Bustard","Eupodotis_afra","Otidiformes","Otididae",689.99,34.9134731740933
"Afrotis afraoides","Northern Black Bustard","Eupodotis_afraoides","Otidiformes","Otididae",745,35.3378780894168
"Agamia agami","Agami Heron","Agamia_agami","Pelecaniformes","Ardeidae",566.99,159.266746079866
"Agapornis canus","Grey-headed Lovebird","Agapornis_canus","Psittaciformes","Psittacidae",30,13.3728446553145
"Agapornis fischeri","Fischer's Lovebird","Agapornis_fischeri","Psittaciformes","Psittacidae",48.3,18.7254191790409
"Agapornis lilianae","Nyasa Lovebird","Agapornis_lilianae","Psittaciformes","Psittacidae",37.3,16.1504551737266
"Agapornis nigrigenis","Black-cheeked Lovebird","Agapornis_nigrigenis","Psittaciformes","Psittacidae",40.5,16.4207769442497
"Agapornis personatus","Yellow-collared Lovebird","Agapornis_personatus","Psittaciformes","Psittacidae",52.38,19.2482565930653
"Agapornis pullarius","Red-headed Lovebird","Agapornis_pullarius","Psittaciformes","Psittacidae",39.3,16.5857721911743
"Agapornis roseicollis","Rosy-faced Lovebird","Agapornis_roseicollis","Psittaciformes","Psittacidae",53.83,19.0799111415353
"Agapornis swindernianus","Black-collared Lovebird","Agapornis_swindernianus","Psittaciformes","Psittacidae",39.98,15.6596335961949
"Agapornis taranta","Black-winged Lovebird","Agapornis_taranta","Psittaciformes","Psittacidae",57.48,18.2262015138641
"Agelaioides badius","Greyish Baywing","Agelaioides_badius","Passeriformes","Icteridae",45.25,19.3602552760132
"Agelaius assimilis","Red-shouldered Blackbird","Agelaius_assimilis","Passeriformes","Icteridae",47.68,23.1280787163453
"Agelaius humeralis","Tawny-shouldered Blackbird","Agelaius_humeralis","Passeriformes","Icteridae",36.29,19.9824970669262
"Agelaius phoeniceus","Red-winged Blackbird","Agelaius_phoeniceus","Passeriformes","Icteridae",50.78,22.58452567128
