"Birdlife_Name","Birdlife_common.name","Jetz_Name","Jetz_order","Jetz_family","Body_mass","Beak"
"Carpospiza brachydactyla","Pale Sparrow","Petronia_brachydactyla","Passeriformes","Passeridae",22.3,13.5925942135155
"Carterornis castus","Tanimbar Monarch","Monarcha_castus","","",26.27,16.1923157549929
"Carterornis chrysomela","Golden Monarch","Monarcha_chrysomela","Passeriformes","Monarchidae",15.6,15.6182087539043
"Carterornis leucotis","White-eared Monarch","Monarcha_leucotis","Passeriformes","Monarchidae",11.4,14.4408260677475
"Carterornis pileatus","White-naped Monarch","Monarcha_pileatus","Passeriformes","Monarchidae",14,16.152470915718
"Caryothraustes canadensis","Yellow-green Grosbeak","Caryothraustes_canadensis","Passeriformes","Cardinalidae",34.5,17.2539474317897
"Caryothraustes celaeno","Crimson-collared Grosbeak","Rhodothraupis_celaeno","Passeriformes","Cardinalidae",60,20.1772373076024
"Caryothraustes erythromelas","Red-and-black Grosbeak","Periporphyrus_erythromelas","Passeriformes","Cardinalidae",48,21.981816661585
"Caryothraustes poliogaster","Black-faced Grosbeak","Caryothraustes_poliogaster","Passeriformes","Cardinalidae",41.8,18.0293472536431
"Casiornis fuscus","Ash-throated Casiornis","Casiornis_fuscus","Passeriformes","Tyrannidae",19.5,15.5884276920557
"Casiornis rufus","Rufous Casiornis","Casiornis_rufus","Passeriformes","Tyrannidae",24.8,16.6502375184633
"Cassiculus melanicterus","Yellow-winged Cacique","Cacicus_melanicterus","Passeriformes","Icteridae",81.34,40.5695452792384
"Castanozoster thoracicus","Bay-chested Warbling-finch","Poospiza_thoracica","Passeriformes","Thraupidae",11.9,12.8198283980526
"Casuarius bennetti","Dwarf Cassowary","Casuarius_bennetti","Casuariiformes","Casuariidae",34999.99,73.4891304312274
"Casuarius casuarius","Southern Cassowary","Casuarius_casuarius","Casuariiformes","Casuariidae",44000,105.064790623076
"Casuarius unappendiculatus","Northern Cassowary","Casuarius_unappendiculatus","Casuariiformes","Casuariidae",46073.85,87.6495275295805
"Catamblyrhynchus diadema","Plushcap","Catamblyrhynchus_diadema","Passeriformes","Thraupidae",14.13,8.97618376455591
"Catamenia analis","Band-tailed Seedeater","Catamenia_analis","Passeriformes","Thraupidae",12,9.72816204521379
"Catamenia homochroa","Paramo Seedeater","Catamenia_homochroa","Passeriformes","Thraupidae",12.2,10.6582278426683
"Catamenia inornata","Plain-colored Seedeater","Catamenia_inornata","Passeriformes","Thraupidae",13.4,9.61935394442483
"Cataponera turdoides","Sulawesi Thrush","Cataponera_turdoides","Passeriformes","Turdidae",89.65,25.1717137423344
"Catharacta antarctica","Brown Skua","Catharacta_antarctica","Charadriiformes","Stercorariidae",1650,59.8457817570439
"Catharacta chilensis","Chilean Skua","Catharacta_chilensis","Charadriiformes","Stercorariidae",1367.77,53.0477683676761
"Catharacta maccormicki","South Polar Skua","Catharacta_maccormicki","Charadriiformes","Stercorariidae",1347.07,52.6849461656418
"Catharacta skua","Great Skua","Catharacta_skua","Charadriiformes","Stercorariidae",1338.22,55.0074832066335
"Catharopeza bishopi","Whistling Warbler","Catharopeza_bishopi","Passeriformes","Parulidae",15.1,15.7551512946375
"Cathartes aura","Turkey Vulture","Cathartes_aura","Accipitriformes","Cathartidae",1518.24,51.9401122413615
"Cathartes burrovianus","Lesser Yellow-headed Vulture","Cathartes_burrovianus","Accipitriformes","Cathartidae",935,50.5648915135208
"Cathartes melambrotus","Greater Yellow-headed Vulture","Cathartes_melambrotus","Accipitriformes","Cathartidae",1373,55.8448817965891
"Catharus aurantiirostris","Orange-billed Nightingale-thrush","Catharus_aurantiirostris","Passeriformes","Turdidae",29.8,14.9838266397322
"Catharus bicknelli","Bicknell's Thrush","Catharus_bicknelli","Passeriformes","Turdidae",27.79,15.4808412720915
"Catharus dryas","Gould's Nightingale-thrush","Catharus_dryas","Passeriformes","Turdidae",37.7,19.8434989175107
"Catharus frantzii","Ruddy-capped Nightingale-thrush","Catharus_frantzii","Passeriformes","Turdidae",28.9,17.7400491994336
"Catharus fuscater","Slaty-backed Nightingale-thrush","Catharus_fuscater","Passeriformes","Turdidae",33.7,16.967982994178
"Catharus fuscescens","Veery","Catharus_fuscescens","Passeriformes","Turdidae",31.9,18.0547414057562
"Catharus gracilirostris","Black-billed Nightingale-thrush","Catharus_gracilirostris","Passeriformes","Turdidae",21,15.3829025648944
"Catharus guttatus","Hermit Thrush","Catharus_guttatus","Passeriformes","Turdidae",30.1,17.8306838835962
"Catharus mexicanus","Black-headed Nightingale-thrush","Catharus_mexicanus","Passeriformes","Turdidae",33,16.7738917745838
"Catharus minimus","Grey-cheeked Thrush","Catharus_minimus","Passeriformes","Turdidae",31.58,15.7285353431478
"Catharus occidentalis","Russet Nightingale-thrush","Catharus_occidentalis","Passeriformes","Turdidae",26.2,20.9495457661115
"Catharus swainsoni","Swainson's Thrush","Catharus_ustulatus","Passeriformes","Turdidae",30.3,14.4268871663433
"Catherpes mexicanus","Canyon Wren","Catherpes_mexicanus","Passeriformes","Troglodytidae",11.97,23.9025081746709
"Catreus wallichii","Cheer Pheasant","Catreus_wallichi","Galliformes","Phasianidae",1436.88,39.3679065499436
"Ceblepyris caesius","Grey Cuckooshrike","Coracina_caesia","Passeriformes","Campephagidae",47.29,22.319419922892
"Ceblepyris cinereus","Madagascar Cuckooshrike","Coracina_cinerea","Passeriformes","Campephagidae",47.2,21.389381783735
"Ceblepyris graueri","Grauer's Cuckooshrike","Coracina_graueri","Passeriformes","Campephagidae",67.96,17.9598088166211
"Ceblepyris pectoralis","White-breasted Cuckooshrike","Coracina_pectoralis","Passeriformes","Campephagidae",54.4,24.143604538586
"Cecropis abyssinica","Lesser Striped Swallow","Hirundo_abyssinica","Passeriformes","Hirundinidae",13.46,10.9751938764006
"Cecropis cucullata","Greater Striped Swallow","Hirundo_cucullata","Passeriformes","Hirundinidae",27.1,11.1413763387688
"Cecropis daurica","Red-rumped Swallow","Hirundo_daurica","Passeriformes","Hirundinidae",22.2,11.4534878276418
"Cecropis semirufa","Rufous-chested Swallow","Hirundo_semirufa","Passeriformes","Hirundinidae",30.1,11.5987860574662
"Cecropis senegalensis","Mosque Swallow","Hirundo_senegalensis","Passeriformes","Hirundinidae",45.35,14.7162971144542
"Celebesica abbotti","Pygmy Cuckooshrike","Coracina_abbotti","Passeriformes","Campephagidae",67.96,23.4417596020736
"Celeus castaneus","Chestnut-colored Woodpecker","Celeus_castaneus","Piciformes","Picidae",85.59,26.1765641045533
"Celeus elegans","Chestnut Woodpecker","Celeus_elegans","Piciformes","Picidae",134.97,33.6977489800231
"Celeus flavescens","Blond-crested Woodpecker","Celeus_flavescens","Piciformes","Picidae",139,34.1333347359991
"Celeus flavus","Cream-colored Woodpecker","Celeus_flavus","Piciformes","Picidae",147.33,29.0327048152074
"Celeus galeatus","Helmeted Woodpecker","Dryocopus_galeatus","Piciformes","Picidae",124,34.1850108652841
"Celeus loricatus","Cinnamon Woodpecker","Celeus_loricatus","Piciformes","Picidae",76.6,24.957786114621
"Celeus lugubris","Pale-crested Woodpecker","Celeus_lugubris","Piciformes","Picidae",137,30.2310495465696
"Celeus obrieni","Kaempfer's Woodpecker","Celeus_obrieni","Piciformes","Picidae",114,26.3277653096896
"Celeus occidentalis","Amazonian Black-breasted Woodpecker","Celeus_torquatus","Piciformes","Picidae",134,34.3086301086471
"Celeus spectabilis","Rufous-headed Woodpecker","Celeus_spectabilis","Piciformes","Picidae",114,30.8105922130423
"Celeus undatus","Waved Woodpecker","Celeus_undatus","Piciformes","Picidae",64.5,24.0987380809265
"Centrocercus minimus","Gunnison Grouse","Centrocercus_minimus","Galliformes","Phasianidae",1902.46,28.1346017240081
"Centrocercus urophasianus","Sage Grouse","Centrocercus_urophasianus","Galliformes","Phasianidae",1902.46,36.7714124528915
"Centropus andamanensis","Andaman Coucal","Centropus_andamanensis","Cuculiformes","Cuculidae",234,37.3739695671555
"Centropus anselli","Gabon Coucal","Centropus_anselli","Cuculiformes","Cuculidae",210,38.5411057757214
"Centropus ateralbus","Pied Coucal","Centropus_ateralbus","Cuculiformes","Cuculidae",339,42.6156931747347
"Centropus bengalensis","Lesser Coucal","Centropus_bengalensis","Cuculiformes","Cuculidae",148.91,28.581435693683
"Centropus bernsteini","Black-billed Coucal","Centropus_bernsteini","Cuculiformes","Cuculidae",162.11,35.5960088018328
"Centropus celebensis","Bay Coucal","Centropus_celebensis","Cuculiformes","Cuculidae",244.36,41.0542729354948
"Centropus chalybeus","Biak Coucal","Centropus_chalybeus","Cuculiformes","Cuculidae",244.36,47.4057241941523
"Centropus chlororhynchos","Green-billed Coucal","Centropus_chlororhynchus","Cuculiformes","Cuculidae",244.36,42.3267088088747
"Centropus cupreicaudus","Coppery-tailed Coucal","Centropus_cupreicaudus","Cuculiformes","Cuculidae",285.18,43.8515997021925
"Centropus goliath","Goliath Coucal","Centropus_goliath","Cuculiformes","Cuculidae",499.42,53.1444357857574
"Centropus grillii","Black Coucal","Centropus_grillii","Cuculiformes","Cuculidae",122.88,26.3458496143576
"Centropus leucogaster","Black-throated Coucal","Centropus_leucogaster","Cuculiformes","Cuculidae",307.81,41.3292741721962
"Centropus melanops","Black-faced Coucal","Centropus_melanops","Cuculiformes","Cuculidae",221.2,39.5281806798018
"Centropus menbeki","Ivory-billed Coucal","Centropus_menbeki","Cuculiformes","Cuculidae",519,50.2277946947385
"Centropus milo","Buff-headed Coucal","Centropus_milo","Cuculiformes","Cuculidae",769,60.9887389158737
"Centropus monachus","Blue-headed Coucal","Centropus_monachus","Cuculiformes","Cuculidae",201.31,33.7982631502944
"Centropus nigrorufus","Javan Coucal","Centropus_nigrorufus","Cuculiformes","Cuculidae",244.36,41.775645731343
"Centropus phasianinus","Pheasant Coucal","Centropus_phasianinus","Cuculiformes","Cuculidae",381.98,38.1251136332862
"Centropus rectunguis","Short-toed Coucal","Centropus_rectunguis","Cuculiformes","Cuculidae",238,41.7452320051845
"Centropus senegalensis","Senegal Coucal","Centropus_senegalensis","Cuculiformes","Cuculidae",169,29.6863077238575
"Centropus sinensis","Greater Coucal","Centropus_sinensis","Cuculiformes","Cuculidae",280.7,46.2531145496108
"Centropus spilopterus","Kai Coucal","Centropus_spilopterus","Cuculiformes","Cuculidae",244.36,39.02378072327
"Centropus steerii","Black-hooded Coucal","Centropus_steerii","Cuculiformes","Cuculidae",198.43,42.7305848058313
"Centropus superciliosus","White-browed Coucal","Centropus_superciliosus","Cuculiformes","Cuculidae",148.45,30.8837180242093
"Centropus toulou","Madagascar Coucal","Centropus_toulou","Cuculiformes","Cuculidae",166.35,30.5926693714839
"Centropus unirufus","Rufous Coucal","Centropus_unirufus","Cuculiformes","Cuculidae",183.76,37.8980159238912
"Centropus violaceus","Violaceous Coucal","Centropus_violaceus","Cuculiformes","Cuculidae",499.99,67.7886027394328
"Centropus viridis","Philippine Coucal","Centropus_viridis","Cuculiformes","Cuculidae",142,29.2373539225385
"Cephalopterus glabricollis","Bare-necked Umbrellabird","Cephalopterus_glabricollis","Passeriformes","Cotingidae",379.47,34.146688166175
"Cephalopterus ornatus","Amazonian Umbrellabird","Cephalopterus_ornatus","Passeriformes","Cotingidae",380,51.4055995022655
