"Birdlife_Name","Jetz_Name"
"Allenia fusca","Margarops_fuscus"
"Alopecoenas beccarii","Gallicolumba_beccarii"
"Alopecoenas canifrons","Gallicolumba_canifrons"
"Alopecoenas erythropterus","Gallicolumba_erythroptera"
"Alopecoenas ferrugineus",NA
"Alopecoenas hoedtii","Gallicolumba_hoedtii"
"Alopecoenas jobiensis","Gallicolumba_jobiensis"
"Alopecoenas johannae","Gallicolumba_beccarii"
"Alopecoenas kubaryi","Gallicolumba_kubaryi"
"Alopecoenas rubescens","Gallicolumba_rubescens"
"Alopecoenas salamonis",NA
"Alopecoenas sanctaecrucis","Gallicolumba_sanctaecrucis"
"Alopecoenas stairi","Gallicolumba_stairi"
"Alopecoenas xanthonurus","Gallicolumba_xanthonura"
"Alophoixus bres","Alophoixus_bres"
"Alophoixus flaveolus","Alophoixus_flaveolus"
"Alophoixus frater","Alophoixus_bres"
"Alophoixus griseiceps","Alophoixus_pallidus"
"Alophoixus ochraceus","Alophoixus_ochraceus"
"Alophoixus pallidus","Alophoixus_pallidus"
"Alophoixus phaeocephalus","Alophoixus_phaeocephalus"
"Alophoixus ruficrissus","Alophoixus_ochraceus"
"Alophoixus tephrogenys","Alophoixus_bres"
"Alopochelidon fucata","Alopochelidon_fucata"
"Alopochen aegyptiaca","Alopochen_aegyptiaca"
"Alopochen kervazoi",NA
"Alopochen mauritiana",NA
"Amadina erythrocephala","Amadina_erythrocephala"
"Amadina fasciata","Amadina_fasciata"
"Amalocichla incerta","Amalocichla_incerta"
"Amalocichla sclateriana","Amalocichla_sclateriana"
"Amandava amandava","Amandava_amandava"
"Amandava formosa","Amandava_formosa"
"Amandava subflava","Amandava_subflava"
"Amaurocichla bocagii","Amaurocichla_bocagei"
"Amaurolimnas concolor","Amaurolimnas_concolor"
"Amaurornis cinerea","Porzana_cinerea"
"Amaurornis isabellina","Amaurornis_isabellina"
"Amaurornis magnirostris","Amaurornis_magnirostris"
"Amaurornis marginalis","Aenigmatolimnas_marginalis"
"Amaurornis moluccana","Amaurornis_moluccana"
"Amaurornis olivacea","Amaurornis_olivacea"
"Amaurornis phoenicurus","Amaurornis_phoenicurus"
"Amaurospiza moesta","Amaurospiza_moesta"
"Amaurospiza relicta","Amaurospiza_concolor"
"Amazilia alfaroana","Amazilia_cyanifrons"
"Amazilia amabilis","Amazilia_amabilis"
"Amazilia amazilia","Amazilia_amazilia"
"Amazilia bartletti","Amazilia_lactea"
"Amazilia beryllina","Amazilia_beryllina"
"Amazilia boucardi","Amazilia_boucardi"
"Amazilia brevirostris","Amazilia_brevirostris"
"Amazilia candida","Amazilia_candida"
"Amazilia castaneiventris","Amazilia_castaneiventris"
"Amazilia chionogaster","Amazilia_chionogaster"
"Amazilia cupreicauda","Amazilia_viridigaster"
"Amazilia cyanifrons","Amazilia_cyanifrons"
"Amazilia cyanocephala","Amazilia_cyanocephala"
"Amazilia cyanura","Amazilia_cyanura"
"Amazilia decora","Amazilia_decora"
"Amazilia edward","Amazilia_edward"
"Amazilia fimbriata","Amazilia_fimbriata"
"Amazilia franciae","Amazilia_franciae"
"Amazilia grayi","Hylocharis_grayi"
"Amazilia humboldtii","Hylocharis_humboldtii"
"Amazilia lactea","Amazilia_lactea"
"Amazilia leucogaster","Amazilia_leucogaster"
"Amazilia luciae","Amazilia_luciae"
"Amazilia rosenbergi","Amazilia_rosenbergi"
"Amazilia rutila","Amazilia_rutila"
"Amazilia sapphirina","Hylocharis_sapphirina"
"Amazilia saucerottei","Amazilia_saucerrottei"
