"Jetz_Name","Body_mass","Latitude_mean","Beak"
"Gallicolumba_stairi",171,-17.22,22.1489313299768
"Gallicolumba_xanthonura",110.62,10.35,19.7732196545396
"Alophoixus_bres",35.31,-0.23,20.9256726618763
"Alophoixus_flaveolus",48.3,22.34,20.0800396514591
"Alophoixus_pallidus",46,19.44,19.5983850639686
"Alophoixus_ochraceus",41.45,4.53,21.14786648269
"Alophoixus_phaeocephalus",32,1.22,20.5349348937113
"Alopochelidon_fucata",13.96,-22.13,9.46472922784001
"Alopochen_aegyptiaca",1873,-0.73,51.1738540788926
"Amadina_erythrocephala",22.5,-23.88,11.6379617822506
"Amadina_fasciata",18,2.2,10.9191341236466
"Amalocichla_incerta",32.7,-7.11,16.8920603382122
"Amalocichla_sclateriana",34,-8.73,26.2500474731531
"Amandava_amandava",8.97,18.74,9.16059390579909
"Amandava_formosa",8.3,20.98,10.9196079002172
"Amandava_subflava",7.44,14.13,8.9781951474119
"Amaurocichla_bocagei",7,-5.4,18.9404589139391
"Amaurolimnas_concolor",133,-1.04,28.2683917471673
"Porzana_cinerea",52.1,-2,24.813165802462
"Amaurornis_isabellina",157.35,-2.09,36.1809572473634
"Amaurornis_magnirostris",168.6,NA,47.9743951295037
"Aenigmatolimnas_marginalis",51.2,-6.21,19.5611764659341
"Amaurornis_moluccana",186.78,-4.95,33.1925402747467
"Amaurornis_olivacea",292,-3.65,35.8087066364009
"Amaurornis_phoenicurus",180,16.6,36.9160025955047
"Amaurospiza_moesta",13.6,-24.32,14.2121131610684
"Amaurospiza_concolor",13.1,10.55,NA
"Amazilia_cyanifrons",5,4.85,NA
"Amazilia_amabilis",4.3,6.2,21.0362810604096
"Amazilia_amazilia",4.3,-6.78,20.6986424791589
"Amazilia_lactea",4.6,-12.52,24.755665479519
"Amazilia_beryllina",4.5,19.88,20.8575077206045
"Amazilia_boucardi",4.5,9.5,22.2620692280885
"Amazilia_brevirostris",4.3,6.57,20.0007261878345
"Amazilia_candida",3.8,17.3,18.2438947434612
"Amazilia_castaneiventris",5,6.88,21.7898071296513
"Amazilia_chionogaster",5.04,-16.05,24.3292734903674
"Amazilia_viridigaster",3.74,5.64,19.2872334228996
"Amazilia_cyanocephala",5.1,16.54,22.8727417211253
"Amazilia_cyanura",3.9,14.13,21.4659791359268
"Amazilia_decora",4.6,8.73,24.8234859551839
"Amazilia_edward",4.7,8.45,21.010459357651
"Amazilia_fimbriata",4.9,-6.38,21.7579393040966
"Amazilia_franciae",5,-0.43,24.6563421698624
"Hylocharis_grayi",5.6,3.35,21.3647998199566
"Hylocharis_humboldtii",5.6,NA,20.1619460823202
"Amazilia_leucogaster",4.7,1.67,24.9210110808327
"Amazilia_luciae",4.78,15.11,23.1136708189733
"Amazilia_rosenbergi",3.7,3.12,24.0904374180716
"Amazilia_rutila",5.24,16.55,24.6106699711215
"Hylocharis_sapphirina",4.4,-5.85,20.0048633154016
